day,channel,spend
0,paid_search,949.5
0,social,493.24
0,email,83.86
0,display,706.66
0,referral,41.65
1,paid_search,931.42
1,social,583.57
1,email,64.67
1,display,587.77
1,referral,40.13
2,paid_search,821.17
2,social,476.24
2,email,92.36
2,display,638.38
2,referral,31.22
3,paid_search,854.28
3,social,503.49
3,email,80.38
3,display,693.37
3,referral,42.28
4,paid_search,885.01
4,social,428.42
4,email,75.77
4,display,601.42
4,referral,38.63
5,paid_search,974.65
5,social,524.25
5,email,87.91
5,display,620.04
5,referral,47.24
6,paid_search,972.67
6,social,506.73
6,email,85.79
6,display,597.29
6,referral,29.88
7,paid_search,834.48
7,social,544.85
7,email,80.77
7,display,639.33
7,referral,35.93
8,paid_search,688.77
8,social,585.49
8,email,78.0
8,display,616.5
8,referral,36.78
9,paid_search,1035.49
9,social,552.88
9,email,70.71
9,display,740.83
9,referral,39.3
10,paid_search,834.06
10,social,482.38
10,email,72.48
10,display,546.97
10,referral,43.73
11,paid_search,876.16
11,social,537.03
11,email,82.76
11,display,692.79
11,referral,30.18
12,paid_search,806.39
12,social,534.16
12,email,67.76
12,display,679.1
12,referral,33.32
13,paid_search,901.78
13,social,596.6
13,email,87.44
13,display,505.64
13,referral,44.07
14,paid_search,1096.8
14,social,667.82
14,email,84.56
14,display,543.58
14,referral,42.09
15,paid_search,1072.37
15,social,488.77
15,email,90.01
15,display,584.51
15,referral,41.79
16,paid_search,631.13
16,social,442.98
16,email,79.94
16,display,621.66
16,referral,33.76
17,paid_search,846.04
17,social,519.78
17,email,79.17
17,display,654.75
17,referral,43.51
18,paid_search,862.94
18,social,581.55
18,email,70.5
18,display,800.38
18,referral,45.34
19,paid_search,861.55
19,social,482.64
19,email,81.98
19,display,696.7
19,referral,45.25
20,paid_search,755.22
20,social,526.25
20,email,59.68
20,display,636.17
20,referral,46.98
21,paid_search,746.9
21,social,404.05
21,email,82.12
21,display,758.22
21,referral,41.56
22,paid_search,694.3
22,social,399.01
22,email,80.94
22,display,558.02
22,referral,40.66
23,paid_search,921.17
23,social,470.61
23,email,97.42
23,display,696.06
23,referral,45.82
24,paid_search,999.42
24,social,491.0
24,email,78.13
24,display,626.79
24,referral,43.27
25,paid_search,829.76
25,social,603.5
25,email,72.84
25,display,666.73
25,referral,38.9
26,paid_search,851.31
26,social,630.34
26,email,75.79
26,display,626.23
26,referral,36.81
27,paid_search,904.43
27,social,493.92
27,email,69.26
27,display,616.9
27,referral,42.93
28,paid_search,1010.91
28,social,501.44
28,email,80.57
28,display,621.84
28,referral,37.59
29,paid_search,800.69
29,social,406.6
29,email,73.26
29,display,720.52
29,referral,37.96
30,paid_search,862.63
30,social,478.07
30,email,91.95
30,display,577.59
30,referral,41.33
31,paid_search,892.61
31,social,504.08
31,email,82.35
31,display,654.46
31,referral,43.81
32,paid_search,896.84
32,social,604.66
32,email,80.43
32,display,517.13
32,referral,43.06
33,paid_search,942.35
33,social,501.95
33,email,77.51
33,display,485.06
33,referral,30.66
34,paid_search,1077.93
34,social,464.87
34,email,89.27
34,display,524.96
34,referral,34.98
35,paid_search,973.29
35,social,493.85
35,email,85.16
35,display,648.94
35,referral,39.0
36,paid_search,826.56
36,social,428.36
36,email,93.47
36,display,772.25
36,referral,35.01
37,paid_search,780.76
37,social,479.13
37,email,83.27
37,display,635.82
37,referral,42.4
38,paid_search,894.68
38,social,493.12
38,email,103.17
38,display,609.03
38,referral,47.87
39,paid_search,1056.26
39,social,530.25
39,email,61.51
39,display,652.42
39,referral,37.53
40,paid_search,902.17
40,social,436.22
40,email,87.26
40,display,726.83
40,referral,45.62
41,paid_search,858.72
41,social,436.43
41,email,83.38
41,display,786.97
41,referral,40.33
42,paid_search,948.85
42,social,485.9
42,email,75.17
42,display,701.35
42,referral,39.49
43,paid_search,943.58
43,social,530.45
43,email,83.34
43,display,693.51
43,referral,35.91
44,paid_search,801.28
44,social,497.44
44,email,79.82
44,display,609.26
44,referral,41.16
45,paid_search,998.09
45,social,571.25
45,email,93.56
45,display,547.45
45,referral,34.42
46,paid_search,868.72
46,social,504.82
46,email,77.71
46,display,606.89
46,referral,38.54
47,paid_search,952.2
47,social,420.22
47,email,102.5
47,display,651.64
47,referral,45.04
48,paid_search,837.36
48,social,534.46
48,email,80.96
48,display,716.83
48,referral,39.05
49,paid_search,1067.57
49,social,410.48
49,email,89.11
49,display,659.26
49,referral,35.11
50,paid_search,1110.82
50,social,610.92
50,email,60.09
50,display,663.79
50,referral,43.39
51,paid_search,947.7
51,social,590.93
51,email,92.55
51,display,670.68
51,referral,50.93
52,paid_search,1001.18
52,social,478.92
52,email,74.7
52,display,746.98
52,referral,36.19
53,paid_search,855.75
53,social,485.63
53,email,83.41
53,display,634.91
53,referral,33.68
54,paid_search,1025.5
54,social,475.74
54,email,99.39
54,display,673.71
54,referral,46.08
55,paid_search,968.13
55,social,578.9
55,email,85.48
55,display,668.34
55,referral,45.25
56,paid_search,1168.48
56,social,483.81
56,email,87.63
56,display,649.59
56,referral,42.43
57,paid_search,904.55
57,social,370.54
57,email,78.08
57,display,727.97
57,referral,36.33
58,paid_search,999.46
58,social,511.02
58,email,78.16
58,display,720.65
58,referral,43.27
59,paid_search,945.42
59,social,560.95
59,email,81.95
59,display,521.72
59,referral,38.19
60,paid_search,705.12
60,social,539.44
60,email,88.6
60,display,723.45
60,referral,42.35
61,paid_search,1004.54
61,social,405.4
61,email,78.97
61,display,539.64
61,referral,38.28
62,paid_search,1074.56
62,social,565.59
62,email,86.36
62,display,635.83
62,referral,35.23
63,paid_search,920.2
63,social,566.64
63,email,83.93
63,display,526.32
63,referral,40.5
64,paid_search,693.36
64,social,548.25
64,email,73.35
64,display,554.6
64,referral,43.93
65,paid_search,960.41
65,social,513.94
65,email,101.04
65,display,699.53
65,referral,36.9
66,paid_search,956.07
66,social,482.84
66,email,92.16
66,display,671.92
66,referral,41.82
67,paid_search,744.22
67,social,503.68
67,email,79.46
67,display,570.11
67,referral,38.94
68,paid_search,947.06
68,social,499.74
68,email,66.44
68,display,628.69
68,referral,37.75
69,paid_search,920.9
69,social,505.13
69,email,76.05
69,display,614.85
69,referral,40.32
70,paid_search,1004.0
70,social,516.72
70,email,93.66
70,display,738.39
70,referral,47.18
71,paid_search,1047.81
71,social,593.78
71,email,68.93
71,display,700.5
71,referral,45.85
72,paid_search,1051.09
72,social,453.76
72,email,86.31
72,display,655.87
72,referral,48.87
73,paid_search,750.17
73,social,453.84
73,email,62.62
73,display,661.28
73,referral,50.87
74,paid_search,895.21
74,social,506.06
74,email,85.28
74,display,640.93
74,referral,41.76
75,paid_search,942.36
75,social,449.27
75,email,79.1
75,display,707.87
75,referral,44.46
76,paid_search,1040.24
76,social,520.13
76,email,83.42
76,display,708.51
76,referral,37.15
77,paid_search,831.34
77,social,492.51
77,email,67.76
77,display,681.74
77,referral,45.04
78,paid_search,823.32
78,social,526.11
78,email,73.96
78,display,570.71
78,referral,49.87
79,paid_search,791.76
79,social,423.24
79,email,82.06
79,display,670.94
79,referral,43.2
80,paid_search,1116.13
80,social,453.37
80,email,74.45
80,display,775.49
80,referral,44.51
81,paid_search,986.41
81,social,464.61
81,email,90.81
81,display,712.65
81,referral,40.91
82,paid_search,836.83
82,social,506.4
82,email,95.83
82,display,564.67
82,referral,36.16
83,paid_search,832.2
83,social,475.35
83,email,79.85
83,display,724.77
83,referral,42.21
84,paid_search,906.57
84,social,516.62
84,email,85.99
84,display,518.83
84,referral,45.14
85,paid_search,810.75
85,social,473.39
85,email,83.27
85,display,644.12
85,referral,42.34
86,paid_search,915.32
86,social,482.64
86,email,94.68
86,display,705.23
86,referral,41.45
87,paid_search,974.79
87,social,457.68
87,email,100.88
87,display,565.16
87,referral,40.54
88,paid_search,869.07
88,social,480.54
88,email,75.64
88,display,589.81
88,referral,45.7
89,paid_search,769.89
89,social,559.01
89,email,86.23
89,display,620.29
89,referral,42.56
