journey_id,channel,day,converted,conversion_day
1,direct,50,1,54
1,display,50,1,54
1,direct,50,1,54
1,referral,52,1,54
2,direct,39,1,43
2,display,40,1,43
2,email,43,1,43
3,referral,43,0,
4,direct,49,1,53
4,referral,52,1,53
5,paid_search,37,0,
6,social,54,1,61
6,email,55,1,61
6,organic_search,56,1,61
6,email,56,1,61
6,organic_search,58,1,61
6,social,60,1,61
7,referral,54,0,
7,social,57,0,
8,organic_search,48,0,
8,paid_search,51,0,
8,display,54,0,
9,email,43,1,47
9,paid_search,43,1,47
9,display,43,1,47
9,email,46,1,47
10,email,44,1,46
10,organic_search,46,1,46
10,social,46,1,46
11,organic_search,34,1,41
11,organic_search,34,1,41
11,organic_search,35,1,41
11,email,37,1,41
11,referral,40,1,41
12,paid_search,24,1,33
12,paid_search,27,1,33
12,email,29,1,33
12,paid_search,32,1,33
13,social,38,0,
13,organic_search,40,0,
13,social,42,0,
13,paid_search,43,0,
14,display,9,1,13
14,direct,10,1,13
14,referral,11,1,13
14,email,13,1,13
14,organic_search,13,1,13
15,organic_search,53,0,
15,email,55,0,
15,direct,55,0,
16,display,51,1,56
16,email,51,1,56
16,paid_search,53,1,56
16,social,56,1,56
17,paid_search,50,0,
17,email,53,0,
18,social,14,0,
18,paid_search,16,0,
18,direct,17,0,
19,email,38,0,
20,email,40,1,45
20,social,41,1,45
20,email,44,1,45
21,paid_search,3,1,5
21,email,4,1,5
21,display,4,1,5
21,organic_search,4,1,5
22,direct,24,1,27
22,organic_search,24,1,27
22,email,24,1,27
22,social,25,1,27
23,organic_search,18,0,
23,email,21,0,
24,paid_search,20,0,
25,referral,36,1,43
25,direct,39,1,43
25,email,40,1,43
25,referral,41,1,43
25,display,42,1,43
26,direct,29,1,31
26,organic_search,29,1,31
26,referral,29,1,31
26,paid_search,31,1,31
27,organic_search,3,1,10
27,referral,4,1,10
27,email,7,1,10
27,paid_search,10,1,10
27,organic_search,10,1,10
28,email,54,0,
29,referral,52,1,55
29,referral,54,1,55
30,social,12,1,18
30,email,13,1,18
30,display,14,1,18
30,organic_search,17,1,18
30,direct,18,1,18
31,paid_search,63,0,
31,social,63,0,
31,email,66,0,
32,referral,33,1,36
32,paid_search,35,1,36
32,referral,35,1,36
32,referral,36,1,36
33,email,73,0,
33,social,73,0,
33,social,74,0,
34,organic_search,21,1,29
34,organic_search,24,1,29
34,referral,26,1,29
34,paid_search,29,1,29
34,email,29,1,29
35,paid_search,65,1,69
35,paid_search,68,1,69
36,paid_search,13,0,
37,email,6,0,
38,email,53,1,57
38,direct,56,1,57
39,organic_search,15,1,17
39,social,17,1,17
40,paid_search,28,0,
40,paid_search,31,0,
40,direct,33,0,
41,direct,8,1,18
41,referral,11,1,18
41,display,13,1,18
41,paid_search,16,1,18
41,email,17,1,18
42,display,60,1,61
42,organic_search,60,1,61
42,email,60,1,61
43,social,19,0,
43,social,20,0,
44,direct,63,0,
44,email,66,0,
45,display,24,1,29
45,email,27,1,29
45,display,27,1,29
45,referral,28,1,29
46,paid_search,55,1,64
46,paid_search,57,1,64
46,referral,59,1,64
46,direct,59,1,64
46,paid_search,62,1,64
